trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2773,False,"{'a': 0.1, 'e': 0.062387682119314766}",35,25,-3.756511900068645,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
2774,False,"{'a': 0.1, 'e': 0.06232529443719545}",25,17,12.67287811335789,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2775,False,"{'a': 0.1, 'e': 0.06226296914275825}",25,7,25.07085745239603,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
2776,False,"{'a': 0.1, 'e': 0.06220070617361549}",25,8,34.91787065303904,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2777,False,"{'a': 0.1, 'e': 0.062138505467441874}",20,13,-8.490169896506913,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
2778,False,"{'a': 0.1, 'e': 0.06207636696197443}",20,15,9.168546670189066,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2779,False,"{'a': 0.1, 'e': 0.062014290595012456}",25,11,24.00557952476368,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2780,False,"{'a': 0.1, 'e': 0.06195227630441744}",25,11,25.85347193795934,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2781,False,"{'a': 0.1, 'e': 0.06189032402811302}",20,8,6.728968585257825,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2782,False,"{'a': 0.1, 'e': 0.06182843370408491}",20,6,-28.896208771645824,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
2783,False,"{'a': 0.1, 'e': 0.061766605270380824}",20,16,7.51153963744802,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2784,False,"{'a': 0.1, 'e': 0.061704838665110444}",20,0,28.113207815769723,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
